SUBJECT	item	sentence	language	condition	RATING	rating_natural
4493	1019a	Pathological malnutrition is an unforgivable shame for the claustrophobic orphanage.	ENGLISH	NEGATIVE	6	4,24
4493	1006a	Since her disgraceful crisis the furious beggar has a devastating hemorrhage.	ENGLISH	NEGATIVE	6	5,64
4493	1008a	Every night an unbearable and terrifying abuse takes place in the vicious criminal prison.	ENGLISH	NEGATIVE	6	6,4
4493	1004a	During the amputation the poisoning spread to the defenseless enemy and led to a crappy death.	ENGLISH	NEGATIVE	6	4,28
4493	1010a	At noon the hostile terrorist will bring his toxic bomb to the schizophrenic cannibal.	ENGLISH	NEGATIVE	6	4,92
4493	1001a	His incurable cancer was a hopeless illness that became a traumatic tragedy.	ENGLISH	NEGATIVE	6	5,8
4493	1011a	At dawn the pervert aggressor takes the infectious urine for his morbid operation.	ENGLISH	NEGATIVE	6	5,28
4493	1020a	Epidemic and unsafe contagion are the hazardous damage of any inadequate murder.	ENGLISH	NEGATIVE	5	3,08
4493	1008b	Every night a domestic and daily circumstance takes place in the ecological catholic center.	ENGLISH	NEUTRAL	5	3,72
4493	1013a	The insolent anarchist will get the lethal pain because of his fatal mistake.	ENGLISH	NEGATIVE	5	5,88
4493	1016a	The rancid stink of his disease provoked the vomit of the hurt slave.	ENGLISH	NEGATIVE	5	6,12
4493	1014a	The alcoholic nausea of the lonely suspect produced an insane rage.	ENGLISH	NEGATIVE	5	4,8
4493	1009a	Last night the repulsive kidnapper used his vile violence to convince the sick cheater.	ENGLISH	NEGATIVE	5	5,28
4493	1003a	The decomposed corpse of the victim marked the immoral nightmare of the weak assassin.	ENGLISH	NEGATIVE	5	5,16
4493	1015b	During the placid congregation they developed a specific calendar for the basic monologue.	ENGLISH	NEUTRAL	4	3,84
4493	1015a	During the sickening dictatorship they developed a negative repression for the problematic traitor.	ENGLISH	NEGATIVE	4	5,32
4493	1005b	Everyday the capitalist banker asks for oysters and prawns while looking at the outer newspaper.	ENGLISH	NEUTRAL	4	5,36
4493	1009b	Last night the southern shepherd used his admissible sermon to convince the vegetarian spectator.	ENGLISH	NEUTRAL	4	5,48
4493	1007b	Today the provincial parliament has made an ordinary pause with the metaphysical mathematician.	ENGLISH	NEUTRAL	4	5
4493	1018a	In the morning the cruel dictator invented a frightening punishment based on horrifying hostility.	ENGLISH	NEGATIVE	4	5,88
4493	1002b	The informal questionnaire caused a conventional practice for the discreet researcher.	ENGLISH	NEUTRAL	3	6
4493	1016b	The gradual signal of his disk provoked the silence of the eventual client.	ENGLISH	NEUTRAL	3	4,52
4493	1014b	The supposed guide of the prodigious biographer produced an uncommon coverage.	ENGLISH	NEUTRAL	3	3,92
4493	1010b	At noon the civil receptionist will bring his meticulous petition to the municipal doorman.	ENGLISH	NEUTRAL	3	5,6
4493	1003b	The anterior background of the director marked the prudent trajectory of the obscure organization.	ENGLISH	NEUTRAL	3	5
4493	1017b	The gentile participant thinks that initial prudence is not a continuous formality.	ENGLISH	NEUTRAL	2	5,28
4493	1020b	Magnesium and residual barium are the chemical principle of any metal sediment.	ENGLISH	NEUTRAL	2	5,92
4493	1019b	Manual measurement is a tentative category for the numerical documentation.	ENGLISH	NEUTRAL	2	5,04
4493	1018b	In the morning the staff of the agency invented a statistical study based on subliminal publishing.	ENGLISH	NEUTRAL	2	5,84
4493	1012b	The western electrician went to the silent barbershop to finish with his usual moustache.	ENGLISH	NEUTRAL	1	4,96
4493	1011b	At dawn the ginger milkman takes the glass bottle for his indulgent neighbor.	ENGLISH	NEUTRAL	1	5,96
4493	1004b	During the conference the consensus spread to the centennial canteen and led to a suitable arrangement.	ENGLISH	NEUTRAL	1	4,44
4493	1001b	His primary handbook was a manageable paragraph that became a singular routine.	ENGLISH	NEUTRAL	1	4
4493	1013b	The postal subscriber will get the promotional antenna because of his editorial supply.	ENGLISH	NEUTRAL	1	4,44
4493	1006b	Since her predictable subscription the sainted schoolteacher has a brown folder.	ENGLISH	NEUTRAL	1	4,24
4486	1001a	His incurable cancer was a hopeless illness that became a traumatic tragedy.	ENGLISH	NEGATIVE	6	5,8
4486	1003a	The decomposed corpse of the victim marked the immoral nightmare of the weak assassin.	ENGLISH	NEGATIVE	6	5,16
4486	1019a	Pathological malnutrition is an unforgivable shame for the claustrophobic orphanage.	ENGLISH	NEGATIVE	6	4,24
4486	1010a	At noon the hostile terrorist will bring his toxic bomb to the schizophrenic cannibal.	ENGLISH	NEGATIVE	6	4,92
4486	1018a	In the morning the cruel dictator invented a frightening punishment based on horrifying hostility.	ENGLISH	NEGATIVE	6	5,88
4486	1007a	Today the sadist pedophile has made a bloody incision with the irritable hostage.	ENGLISH	NEGATIVE	6	4,76
4486	1005a	Everyday the dangerous sociopath asks for agony and incarceration while looking at the mutilate nigger.	ENGLISH	NEGATIVE	6	3,84
4486	1004a	During the amputation the poisoning spread to the defenseless enemy and led to a crappy death.	ENGLISH	NEGATIVE	6	4,28
4486	1002a	The terrible infection caused a violent diarrhea for the agonizing prisoner.	ENGLISH	NEGATIVE	5	6,04
4486	1012a	The miserable gangster went to the frustrating funeral to finish with his nasty revenge.	ENGLISH	NEGATIVE	5	6,24
4486	1009a	Last night the repulsive kidnapper used his vile violence to convince the sick cheater.	ENGLISH	NEGATIVE	5	5,28
4486	1017a	The degenerate evil thinks that satanic war is not a mad trouble.	ENGLISH	NEGATIVE	5	6,24
4486	1013a	The insolent anarchist will get the lethal pain because of his fatal mistake.	ENGLISH	NEGATIVE	5	5,88
4486	1015a	During the sickening dictatorship they developed a negative repression for the problematic traitor.	ENGLISH	NEGATIVE	5	5,32
4486	1008a	Every night an unbearable and terrifying abuse takes place in the vicious criminal prison.	ENGLISH	NEGATIVE	5	6,4
4486	1014a	The alcoholic nausea of the lonely suspect produced an insane rage.	ENGLISH	NEGATIVE	4	4,8
4486	1011a	At dawn the pervert aggressor takes the infectious urine for his morbid operation.	ENGLISH	NEGATIVE	4	5,28
4486	1016a	The rancid stink of his disease provoked the vomit of the hurt slave.	ENGLISH	NEGATIVE	4	6,12
4486	1006a	Since her disgraceful crisis the furious beggar has a devastating hemorrhage.	ENGLISH	NEGATIVE	4	5,64
4486	1020a	Epidemic and unsafe contagion are the hazardous damage of any inadequate murder.	ENGLISH	NEGATIVE	3	3,08
4486	1005b	Everyday the capitalist banker asks for oysters and prawns while looking at the outer newspaper.	ENGLISH	NEUTRAL	1	5,36
4486	1007b	Today the provincial parliament has made an ordinary pause with the metaphysical mathematician.	ENGLISH	NEUTRAL	1	5
4486	1010b	At noon the civil receptionist will bring his meticulous petition to the municipal doorman.	ENGLISH	NEUTRAL	1	5,6
4486	1016b	The gradual signal of his disk provoked the silence of the eventual client.	ENGLISH	NEUTRAL	1	4,52
4486	1001b	His primary handbook was a manageable paragraph that became a singular routine.	ENGLISH	NEUTRAL	1	4
4486	1013b	The postal subscriber will get the promotional antenna because of his editorial supply.	ENGLISH	NEUTRAL	1	4,44
4486	1015b	During the placid congregation they developed a specific calendar for the basic monologue.	ENGLISH	NEUTRAL	1	3,84
4486	1019b	Manual measurement is a tentative category for the numerical documentation.	ENGLISH	NEUTRAL	1	5,04
4486	1012b	The western electrician went to the silent barbershop to finish with his usual moustache.	ENGLISH	NEUTRAL	1	4,96
4486	1006b	Since her predictable subscription the sainted schoolteacher has a brown folder.	ENGLISH	NEUTRAL	1	4,24
4486	1009b	Last night the southern shepherd used his admissible sermon to convince the vegetarian spectator.	ENGLISH	NEUTRAL	1	5,48
4486	1018b	In the morning the staff of the agency invented a statistical study based on subliminal publishing.	ENGLISH	NEUTRAL	1	5,84
4486	1020b	Magnesium and residual barium are the chemical principle of any metal sediment.	ENGLISH	NEUTRAL	1	5,92
4486	1003b	The anterior background of the director marked the prudent trajectory of the obscure organization.	ENGLISH	NEUTRAL	1	5
4486	1008b	Every night a domestic and daily circumstance takes place in the ecological catholic center.	ENGLISH	NEUTRAL	1	3,72
4486	1002b	The informal questionnaire caused a conventional practice for the discreet researcher.	ENGLISH	NEUTRAL	1	6
4486	1011b	At dawn the ginger milkman takes the glass bottle for his indulgent neighbor.	ENGLISH	NEUTRAL	1	5,96
4486	1004b	During the conference the consensus spread to the centennial canteen and led to a suitable arrangement.	ENGLISH	NEUTRAL	1	4,44
4486	1014b	The supposed guide of the prodigious biographer produced an uncommon coverage.	ENGLISH	NEUTRAL	1	3,92
4486	1017b	The gentile participant thinks that initial prudence is not a continuous formality.	ENGLISH	NEUTRAL	1	5,28
4423	1010a	At noon the hostile terrorist will bring his toxic bomb to the schizophrenic cannibal.	ENGLISH	NEGATIVE	7	4,92
4423	1003a	The decomposed corpse of the victim marked the immoral nightmare of the weak assassin.	ENGLISH	NEGATIVE	7	5,16
4423	1018a	In the morning the cruel dictator invented a frightening punishment based on horrifying hostility.	ENGLISH	NEGATIVE	7	5,88
4423	1006a	Since her disgraceful crisis the furious beggar has a devastating hemorrhage.	ENGLISH	NEGATIVE	7	5,64
4423	1004a	During the amputation the poisoning spread to the defenseless enemy and led to a crappy death.	ENGLISH	NEGATIVE	7	4,28
4423	1007a	Today the sadist pedophile has made a bloody incision with the irritable hostage.	ENGLISH	NEGATIVE	7	4,76
4423	1005a	Everyday the dangerous sociopath asks for agony and incarceration while looking at the mutilate nigger.	ENGLISH	NEGATIVE	7	3,84
4423	1020a	Epidemic and unsafe contagion are the hazardous damage of any inadequate murder.	ENGLISH	NEGATIVE	6	3,08
4423	1015a	During the sickening dictatorship they developed a negative repression for the problematic traitor.	ENGLISH	NEGATIVE	6	5,32
4423	1019a	Pathological malnutrition is an unforgivable shame for the claustrophobic orphanage.	ENGLISH	NEGATIVE	6	4,24
4423	1008a	Every night an unbearable and terrifying abuse takes place in the vicious criminal prison.	ENGLISH	NEGATIVE	6	6,4
4423	1001a	His incurable cancer was a hopeless illness that became a traumatic tragedy.	ENGLISH	NEGATIVE	6	5,8
4423	1016a	The rancid stink of his disease provoked the vomit of the hurt slave.	ENGLISH	NEGATIVE	6	6,12
4423	1009a	Last night the repulsive kidnapper used his vile violence to convince the sick cheater.	ENGLISH	NEGATIVE	6	5,28
4423	1013a	The insolent anarchist will get the lethal pain because of his fatal mistake.	ENGLISH	NEGATIVE	6	5,88
4423	1002a	The terrible infection caused a violent diarrhea for the agonizing prisoner.	ENGLISH	NEGATIVE	5	6,04
4423	1017a	The degenerate evil thinks that satanic war is not a mad trouble.	ENGLISH	NEGATIVE	5	6,24
4423	1011a	At dawn the pervert aggressor takes the infectious urine for his morbid operation.	ENGLISH	NEGATIVE	5	5,28
4423	1009b	Last night the southern shepherd used his admissible sermon to convince the vegetarian spectator.	ENGLISH	NEUTRAL	5	5,48
4423	1018b	In the morning the staff of the agency invented a statistical study based on subliminal publishing.	ENGLISH	NEUTRAL	4	5,84
4423	1012a	The miserable gangster went to the frustrating funeral to finish with his nasty revenge.	ENGLISH	NEGATIVE	4	6,24
4423	1014a	The alcoholic nausea of the lonely suspect produced an insane rage.	ENGLISH	NEGATIVE	4	4,8
4423	1010b	At noon the civil receptionist will bring his meticulous petition to the municipal doorman.	ENGLISH	NEUTRAL	4	5,6
4423	1003b	The anterior background of the director marked the prudent trajectory of the obscure organization.	ENGLISH	NEUTRAL	3	5
4423	1008b	Every night a domestic and daily circumstance takes place in the ecological catholic center.	ENGLISH	NEUTRAL	3	3,72
4423	1006b	Since her predictable subscription the sainted schoolteacher has a brown folder.	ENGLISH	NEUTRAL	3	4,24
4423	1005b	Everyday the capitalist banker asks for oysters and prawns while looking at the outer newspaper.	ENGLISH	NEUTRAL	2	5,36
4423	1019b	Manual measurement is a tentative category for the numerical documentation.	ENGLISH	NEUTRAL	2	5,04
4423	1014b	The supposed guide of the prodigious biographer produced an uncommon coverage.	ENGLISH	NEUTRAL	2	3,92
4423	1017b	The gentile participant thinks that initial prudence is not a continuous formality.	ENGLISH	NEUTRAL	2	5,28
4423	1013b	The postal subscriber will get the promotional antenna because of his editorial supply.	ENGLISH	NEUTRAL	2	4,44
4423	1004b	During the conference the consensus spread to the centennial canteen and led to a suitable arrangement.	ENGLISH	NEUTRAL	1	4,44
4423	1011b	At dawn the ginger milkman takes the glass bottle for his indulgent neighbor.	ENGLISH	NEUTRAL	1	5,96
4423	1016b	The gradual signal of his disk provoked the silence of the eventual client.	ENGLISH	NEUTRAL	1	4,52
4423	1007b	Today the provincial parliament has made an ordinary pause with the metaphysical mathematician.	ENGLISH	NEUTRAL	1	5
4423	1001b	His primary handbook was a manageable paragraph that became a singular routine.	ENGLISH	NEUTRAL	1	4
4423	1002b	The informal questionnaire caused a conventional practice for the discreet researcher.	ENGLISH	NEUTRAL	1	6
4423	1015b	During the placid congregation they developed a specific calendar for the basic monologue.	ENGLISH	NEUTRAL	1	3,84
4423	1012b	The western electrician went to the silent barbershop to finish with his usual moustache.	ENGLISH	NEUTRAL	1	4,96
4423	1020b	Magnesium and residual barium are the chemical principle of any metal sediment.	ENGLISH	NEUTRAL	1	5,92
4353	1019a	Pathological malnutrition is an unforgivable shame for the claustrophobic orphanage.	ENGLISH	NEGATIVE	7	4,24
4353	1013a	The insolent anarchist will get the lethal pain because of his fatal mistake.	ENGLISH	NEGATIVE	7	5,88
4353	1003a	The decomposed corpse of the victim marked the immoral nightmare of the weak assassin.	ENGLISH	NEGATIVE	7	5,16
4353	1001a	His incurable cancer was a hopeless illness that became a traumatic tragedy.	ENGLISH	NEGATIVE	7	5,8
4353	1012a	The miserable gangster went to the frustrating funeral to finish with his nasty revenge.	ENGLISH	NEGATIVE	6	6,24
4353	1016a	The rancid stink of his disease provoked the vomit of the hurt slave.	ENGLISH	NEGATIVE	6	6,12
4353	1011a	At dawn the pervert aggressor takes the infectious urine for his morbid operation.	ENGLISH	NEGATIVE	5	5,28
4353	1004a	During the amputation the poisoning spread to the defenseless enemy and led to a crappy death.	ENGLISH	NEGATIVE	5	4,28
4353	1008a	Every night an unbearable and terrifying abuse takes place in the vicious criminal prison.	ENGLISH	NEGATIVE	5	6,4
4353	1002a	The terrible infection caused a violent diarrhea for the agonizing prisoner.	ENGLISH	NEGATIVE	5	6,04
4353	1010a	At noon the hostile terrorist will bring his toxic bomb to the schizophrenic cannibal.	ENGLISH	NEGATIVE	5	4,92
4353	1007a	Today the sadist pedophile has made a bloody incision with the irritable hostage.	ENGLISH	NEGATIVE	4	4,76
4353	1018a	In the morning the cruel dictator invented a frightening punishment based on horrifying hostility.	ENGLISH	NEGATIVE	4	5,88
4353	1005a	Everyday the dangerous sociopath asks for agony and incarceration while looking at the mutilate nigger.	ENGLISH	NEGATIVE	4	3,84
4353	1006a	Since her disgraceful crisis the furious beggar has a devastating hemorrhage.	ENGLISH	NEGATIVE	4	5,64
4353	1017a	The degenerate evil thinks that satanic war is not a mad trouble.	ENGLISH	NEGATIVE	4	6,24
4353	1020a	Epidemic and unsafe contagion are the hazardous damage of any inadequate murder.	ENGLISH	NEGATIVE	4	3,08
4353	1014a	The alcoholic nausea of the lonely suspect produced an insane rage.	ENGLISH	NEGATIVE	3	4,8
4353	1003b	The anterior background of the director marked the prudent trajectory of the obscure organization.	ENGLISH	NEUTRAL	3	5
4353	1009a	Last night the repulsive kidnapper used his vile violence to convince the sick cheater.	ENGLISH	NEGATIVE	3	5,28
4353	1015a	During the sickening dictatorship they developed a negative repression for the problematic traitor.	ENGLISH	NEGATIVE	2	5,32
4353	1004b	During the conference the consensus spread to the centennial canteen and led to a suitable arrangement.	ENGLISH	NEUTRAL	2	4,44
4353	1009b	Last night the southern shepherd used his admissible sermon to convince the vegetarian spectator.	ENGLISH	NEUTRAL	2	5,48
4353	1010b	At noon the civil receptionist will bring his meticulous petition to the municipal doorman.	ENGLISH	NEUTRAL	2	5,6
4353	1017b	The gentile participant thinks that initial prudence is not a continuous formality.	ENGLISH	NEUTRAL	2	5,28
4353	1005b	Everyday the capitalist banker asks for oysters and prawns while looking at the outer newspaper.	ENGLISH	NEUTRAL	2	5,36
4353	1016b	The gradual signal of his disk provoked the silence of the eventual client.	ENGLISH	NEUTRAL	2	4,52
4353	1011b	At dawn the ginger milkman takes the glass bottle for his indulgent neighbor.	ENGLISH	NEUTRAL	2	5,96
4353	1002b	The informal questionnaire caused a conventional practice for the discreet researcher.	ENGLISH	NEUTRAL	2	6
4353	1008b	Every night a domestic and daily circumstance takes place in the ecological catholic center.	ENGLISH	NEUTRAL	2	3,72
4353	1018b	In the morning the staff of the agency invented a statistical study based on subliminal publishing.	ENGLISH	NEUTRAL	2	5,84
4353	1006b	Since her predictable subscription the sainted schoolteacher has a brown folder.	ENGLISH	NEUTRAL	1	4,24
4353	1020b	Magnesium and residual barium are the chemical principle of any metal sediment.	ENGLISH	NEUTRAL	1	5,92
4353	1013b	The postal subscriber will get the promotional antenna because of his editorial supply.	ENGLISH	NEUTRAL	1	4,44
4353	1015b	During the placid congregation they developed a specific calendar for the basic monologue.	ENGLISH	NEUTRAL	1	3,84
4353	1001b	His primary handbook was a manageable paragraph that became a singular routine.	ENGLISH	NEUTRAL	1	4
4353	1012b	The western electrician went to the silent barbershop to finish with his usual moustache.	ENGLISH	NEUTRAL	1	4,96
4353	1014b	The supposed guide of the prodigious biographer produced an uncommon coverage.	ENGLISH	NEUTRAL	1	3,92
4353	1007b	Today the provincial parliament has made an ordinary pause with the metaphysical mathematician.	ENGLISH	NEUTRAL	1	5
4353	1019b	Manual measurement is a tentative category for the numerical documentation.	ENGLISH	NEUTRAL	1	5,04
4187	1018a	In the morning the cruel dictator invented a frightening punishment based on horrifying hostility.	ENGLISH	NEGATIVE	7	5,88
4187	1016a	The rancid stink of his disease provoked the vomit of the hurt slave.	ENGLISH	NEGATIVE	7	6,12
4187	1005a	Everyday the dangerous sociopath asks for agony and incarceration while looking at the mutilate nigger.	ENGLISH	NEGATIVE	7	3,84
4187	1007a	Today the sadist pedophile has made a bloody incision with the irritable hostage.	ENGLISH	NEGATIVE	7	4,76
4187	1006a	Since her disgraceful crisis the furious beggar has a devastating hemorrhage.	ENGLISH	NEGATIVE	6	5,64
4187	1002a	The terrible infection caused a violent diarrhea for the agonizing prisoner.	ENGLISH	NEGATIVE	6	6,04
4187	1003a	The decomposed corpse of the victim marked the immoral nightmare of the weak assassin.	ENGLISH	NEGATIVE	6	5,16
4187	1004a	During the amputation the poisoning spread to the defenseless enemy and led to a crappy death.	ENGLISH	NEGATIVE	6	4,28
4187	1011a	At dawn the pervert aggressor takes the infectious urine for his morbid operation.	ENGLISH	NEGATIVE	6	5,28
4187	1009a	Last night the repulsive kidnapper used his vile violence to convince the sick cheater.	ENGLISH	NEGATIVE	6	5,28
4187	1019a	Pathological malnutrition is an unforgivable shame for the claustrophobic orphanage.	ENGLISH	NEGATIVE	6	4,24
4187	1010a	At noon the hostile terrorist will bring his toxic bomb to the schizophrenic cannibal.	ENGLISH	NEGATIVE	5	4,92
4187	1014a	The alcoholic nausea of the lonely suspect produced an insane rage.	ENGLISH	NEGATIVE	5	4,8
4187	1005b	Everyday the capitalist banker asks for oysters and prawns while looking at the outer newspaper.	ENGLISH	NEUTRAL	5	5,36
4187	1013a	The insolent anarchist will get the lethal pain because of his fatal mistake.	ENGLISH	NEGATIVE	5	5,88
4187	1020a	Epidemic and unsafe contagion are the hazardous damage of any inadequate murder.	ENGLISH	NEGATIVE	5	3,08
4187	1001a	His incurable cancer was a hopeless illness that became a traumatic tragedy.	ENGLISH	NEGATIVE	5	5,8
4187	1008a	Every night an unbearable and terrifying abuse takes place in the vicious criminal prison.	ENGLISH	NEGATIVE	5	6,4
4187	1017a	The degenerate evil thinks that satanic war is not a mad trouble.	ENGLISH	NEGATIVE	5	6,24
4187	1015a	During the sickening dictatorship they developed a negative repression for the problematic traitor.	ENGLISH	NEGATIVE	4	5,32
4187	1012a	The miserable gangster went to the frustrating funeral to finish with his nasty revenge.	ENGLISH	NEGATIVE	4	6,24
4187	1006b	Since her predictable subscription the sainted schoolteacher has a brown folder.	ENGLISH	NEUTRAL	3	4,24
4187	1012b	The western electrician went to the silent barbershop to finish with his usual moustache.	ENGLISH	NEUTRAL	3	4,96
4187	1009b	Last night the southern shepherd used his admissible sermon to convince the vegetarian spectator.	ENGLISH	NEUTRAL	3	5,48
4187	1004b	During the conference the consensus spread to the centennial canteen and led to a suitable arrangement.	ENGLISH	NEUTRAL	3	4,44
4187	1011b	At dawn the ginger milkman takes the glass bottle for his indulgent neighbor.	ENGLISH	NEUTRAL	3	5,96
4187	1017b	The gentile participant thinks that initial prudence is not a continuous formality.	ENGLISH	NEUTRAL	3	5,28
4187	1008b	Every night a domestic and daily circumstance takes place in the ecological catholic center.	ENGLISH	NEUTRAL	3	3,72
4187	1001b	His primary handbook was a manageable paragraph that became a singular routine.	ENGLISH	NEUTRAL	2	4
4187	1016b	The gradual signal of his disk provoked the silence of the eventual client.	ENGLISH	NEUTRAL	2	4,52
4187	1019b	Manual measurement is a tentative category for the numerical documentation.	ENGLISH	NEUTRAL	2	5,04
4187	1010b	At noon the civil receptionist will bring his meticulous petition to the municipal doorman.	ENGLISH	NEUTRAL	2	5,6
4187	1003b	The anterior background of the director marked the prudent trajectory of the obscure organization.	ENGLISH	NEUTRAL	2	5
4187	1015b	During the placid congregation they developed a specific calendar for the basic monologue.	ENGLISH	NEUTRAL	1	3,84
4187	1014b	The supposed guide of the prodigious biographer produced an uncommon coverage.	ENGLISH	NEUTRAL	1	3,92
4187	1020b	Magnesium and residual barium are the chemical principle of any metal sediment.	ENGLISH	NEUTRAL	1	5,92
4187	1018b	In the morning the staff of the agency invented a statistical study based on subliminal publishing.	ENGLISH	NEUTRAL	1	5,84
4187	1013b	The postal subscriber will get the promotional antenna because of his editorial supply.	ENGLISH	NEUTRAL	1	4,44
4187	1002b	The informal questionnaire caused a conventional practice for the discreet researcher.	ENGLISH	NEUTRAL	1	6
4187	1007b	Today the provincial parliament has made an ordinary pause with the metaphysical mathematician.	ENGLISH	NEUTRAL	1	5
4179	1012a	The miserable gangster went to the frustrating funeral to finish with his nasty revenge.	ENGLISH	NEGATIVE	6	6,24
4179	1013a	The insolent anarchist will get the lethal pain because of his fatal mistake.	ENGLISH	NEGATIVE	6	5,88
4179	1001a	His incurable cancer was a hopeless illness that became a traumatic tragedy.	ENGLISH	NEGATIVE	6	5,8
4179	1003a	The decomposed corpse of the victim marked the immoral nightmare of the weak assassin.	ENGLISH	NEGATIVE	6	5,16
4179	1007a	Today the sadist pedophile has made a bloody incision with the irritable hostage.	ENGLISH	NEGATIVE	6	4,76
4179	1008a	Every night an unbearable and terrifying abuse takes place in the vicious criminal prison.	ENGLISH	NEGATIVE	6	6,4
4179	1011b	At dawn the ginger milkman takes the glass bottle for his indulgent neighbor.	ENGLISH	NEUTRAL	5	5,96
